醫事機構代碼,醫事機構名稱,醫事機構種類 ,電話,地 址 ,分區業務組,特約類別,服務項目 ,診療科別 ,終止合約或歇業日期 ,固定看診時段 ,備註
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,綜合醫院,02 -25433535,台北市中山區中山北路2段92號,臺北業務組,醫學中心,"安寧居家療護(甲類),門診診療,住院診療,兒童預防保健","外科,兒科,骨科,神經外科,耳鼻喉科,眼科,皮膚科,精神科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,
1101150011,新光醫療財團法人新光吳火獅紀念醫院,綜合醫院,02 -28332211,台北市士林區文昌路95號及士商路51號1至7樓53、55號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,兒童牙齒預防保健,精神科日間住院治療,結核病,口腔黏膜檢查,定量免疫法糞便潛血檢查","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,麻醉科,放射線科,病理科,核子醫學科,放射腫瘤科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,106/10/04中秋節、106/10/10國慶日門診休診，提供24小時急診服務
1121020014,奇美醫療財團法人奇美醫院台南分院,精神科醫院,06 -2228116,台南市南區樹林街二段442號,南區業務組,醫學中心,"門診診療,住院診療,精神病患者居家照護,精神科日間住院治療",精神科,,星期一上午看診、星期二上午看診、星期三上午休診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上看診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,綜合醫院,02 -89667000,新北市板橋區南雅南路2段21號及高爾富路300號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,兒童牙齒預防保健,精神科日間住院治療,結核病,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,中醫科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供急診服務
1131100010,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,綜合醫院,02 -28094661,新北市淡水區民生路45號、民權路47號B1至10樓,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,兒童牙齒預防保健,婦女乳房檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,麻醉科,放射線科,病理科,核子醫學科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,
1132070011,長庚醫療財團法人林口長庚紀念醫院,綜合醫院,03 -3281200,桃園市龜山區公西里復興街5號、5之7號、文化一路15號,北區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－聽力檢查業務,復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,居家照護,分娩,精神病患者居家照護,兒童牙齒預防保健,婦女乳房檢查,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,口腔病理科,中醫科,麻醉科,放射線科,病理科,核子醫學科,放射腫瘤科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診全年無休，門診開診日及開診科別依本院門診表公告為準。
1137010024,彰化基督教醫療財團法人彰化基督教醫院,綜合醫院,04 -7238595,彰化縣彰化市南校街135號、中華路176號、旭光路235、320號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,義肢業務,兒童牙齒預防保健,婦女乳房檢查,精神科日間住院治療,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","不分科,家醫科,內科,外科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,急診醫學科,牙科,齒顎矯正科,中醫科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,星期一至星期日提供24小時急診
1137010042,彰化基督教醫療財團法人彰化基督教兒童醫院,綜合醫院,04 -7238595,彰化縣彰化市光南里13鄰旭光路320號、南校街135號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,兒童預防保健","外科,兒科,骨科,眼科,精神科,復健科,牙科,麻醉科,放射線科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,星期一至星期日提供24小時急診
1141310019,奇美醫療財團法人奇美醫院,綜合醫院,06 -2812811,臺南市永康區中華路901號,南區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,義肢業務,兒童牙齒預防保健,婦女乳房檢查,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,中醫科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,請參考網路公告。
1142100017,長庚醫療財團法人高雄長庚紀念醫院,綜合醫院,07 -7317123,高雄市鳥松區大埤路123號,高屏業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,義肢業務,兒童牙齒預防保健,婦女乳房檢查,精神科日間住院治療,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,口腔病理科,中醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,本院急診提供全天24小時緊急醫療服務
1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,綜合醫院,03 -8561825,花蓮縣花蓮市中央路3段707號,東區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,住院安寧療護,安寧居家療護(甲類),門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,兒童牙齒預防保健,婦女乳房檢查,精神科日間住院治療,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,口腔病理科,中醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時服務
1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,綜合醫院,02 -29307930,台北市文山區興隆路3段111號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,兒童牙齒預防保健,精神科日間住院治療,結核病,口腔黏膜檢查,定量免疫法糞便潛血檢查","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,口腔病理科,中醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供24小時急診服務。
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,綜合醫院,07 -3121101,高雄市三民區十全一路100號,高屏業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,義肢業務,兒童牙齒預防保健,婦女乳房檢查,精神科日間住院治療,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,口腔診斷科,口腔病理科,中醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時提供服務
1303260014,中國醫藥大學兒童醫院,綜合醫院,04 -22062121,臺中市北區育德路1號、學士路95號、學士路2號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－聽力檢查業務,復健－語言治療業務,門診診療,住院診療,兒童預防保健,兒童牙齒預防保健","外科,兒科,骨科,泌尿科,眼科,精神科,復健科,整形外科,急診醫學科,牙科,麻醉科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,端午節上午正常門診、下午及夜間部份醫師看診
1317040011,中山醫學大學附設醫院,綜合醫院,04 -24739595,台中市南區建國北路一段110號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－聽力檢查業務,復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,精神病患者居家照護,義肢業務,兒童牙齒預防保健,婦女乳房檢查,腹膜透析業務,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,口腔病理科,中醫科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,星期一至星期日提供24小時急診。
